Athlete,Discipline,NOC,Gender,Medal
CAMPBELL-BROWN  Veronica,Athletics,JAM,Women,Gold
FELIX  Allyson,Athletics,USA,Women,Silver
RIGAUDO  Elisa,Athletics,ITA,Women,Bronze
KANISKINA  Olga,Athletics,RUS,Women,Gold
PLATZER  Kjersti Tysse,Athletics,NOR,Women,Silver
TALLENT  Jared,Athletics,AUS,Men,Bronze
BORCHIN  Valeriy,Athletics,RUS,Men,Gold
PEREZ  Jefferson,Athletics,ECU,Men,Silver
MATEELONG  Richard Kipkemboi,Athletics,KEN,Men,Bronze
KIPRUTO  Brimin Kiprop,Athletics,KEN,Men,Gold
MEKHISSI-B.  Mahiedine,Athletics,FRA,Men,Silver
VOLKOVA  Ekaterina,Athletics,RUS,Women,Bronze
GALKINA-SAMITOVA  Gulnara,Athletics,RUS,Women,Gold
JEPKORIR  Eunice,Athletics,KEN,Women,Silver
NEVILLE  David,Athletics,USA,Men,Bronze
MERRITT  LaShawn,Athletics,USA,Men,Gold
WARINER  Jeremy,Athletics,USA,Men,Silver
RICHARDS  Sanya,Athletics,USA,Women,Bronze
OHURUOGU  Christine,Athletics,GBR,Women,Gold
WILLIAMS  Shericka,Athletics,JAM,Women,Silver
JACKSON  Bershawn,Athletics,USA,Men,Bronze
TAYLOR  Angelo,Athletics,USA,Men,Gold
CLEMENT  Kerron,Athletics,USA,Men,Silver
DANVERS  Tasha,Athletics,GBR,Women,Bronze
WALKER  Melaine,Athletics,JAM,Women,Gold
TOSTA  Sheena,Athletics,USA,Women,Silver
ASAHARA  Nobuharu,Athletics,JPN,Men,Bronze
SUETSUGU  Shingo,Athletics,JPN,Men,Bronze
TAKAHIRA  Shinji,Athletics,JPN,Men,Bronze
TSUKAHARA  Naoki,Athletics,JPN,Men,Bronze
BOLT  Usain,Athletics,JAM,Men,Gold
CARTER  Nesta,Athletics,JAM,Men,Gold
FRATER  Michael,Athletics,JAM,Men,Gold
POWELL  Asafa,Athletics,JAM,Men,Gold
BLEDMAN  Keston,Athletics,TRI,Men,Silver
BURNS  Marc,Athletics,TRI,Men,Silver
CALLENDER  Emmanuel,Athletics,TRI,Men,Silver
THOMPSON  Richard,Athletics,TRI,Men,Silver
IDOKO  Franca,Athletics,NGR,Women,Bronze
ISMAILA  Halimat,Athletics,NGR,Women,Bronze
KEMASUODE  Gloria,Athletics,NGR,Women,Bronze
OSAYOMI  Oludamola,Athletics,NGR,Women,Bronze
CHERMOSHANSKAYA  Yuliya,Athletics,RUS,Women,Gold
FEDORIVA  Aleksandra,Athletics,RUS,Women,Gold
GUSHCHINA  Yulia,Athletics,RUS,Women,Gold
POLYAKOVA  Evgeniya,Athletics,RUS,Women,Gold
BORLEE  Olivia,Athletics,BEL,Women,Silver
GEVAERT  Kim,Athletics,BEL,Women,Silver
MARIEN  Hanna,Athletics,BEL,Women,Silver
OUEDRAOGO  Elodie,Athletics,BEL,Women,Silver
ALEXEEV  Denis,Athletics,RUS,Men,Bronze
DYLDIN  Maksim,Athletics,RUS,Men,Bronze
FROLOV  Vladislav,Athletics,RUS,Men,Bronze
KOKORIN  Anton,Athletics,RUS,Men,Bronze
MERRITT  LaShawn,Athletics,USA,Men,Gold
NEVILLE  David,Athletics,USA,Men,Gold
TAYLOR  Angelo,Athletics,USA,Men,Gold
WARINER  Jeremy,Athletics,USA,Men,Gold
BAIN  Andretti,Athletics,BAH,Men,Silver
BROWN  Christopher,Athletics,BAH,Men,Silver
MATHIEU  Michael,Athletics,BAH,Men,Silver
WILLIAMS  Andrae,Athletics,BAH,Men,Silver
LLOYD  Shereefa,Athletics,JAM,Women,Bronze
WHYTE  Rosemarie,Athletics,JAM,Women,Bronze
WILLIAMS  Novelene,Athletics,JAM,Women,Bronze
WILLIAMS  Shericka,Athletics,JAM,Women,Bronze
FELIX  Allyson,Athletics,USA,Women,Gold
HENDERSON  Monique,Athletics,USA,Women,Gold
RICHARDS  Sanya,Athletics,USA,Women,Gold
WINEBERG  Mary,Athletics,USA,Women,Gold
FIROVA  Tatiana,Athletics,RUS,Women,Silver
GUSHCHINA  Yulia,Athletics,RUS,Women,Silver
KAPACHINSKAYA  Anastasia,Athletics,RUS,Women,Silver
LITVINOVA  Liudmila,Athletics,RUS,Women,Silver
SOI  Edwin Cheruiyot,Athletics,KEN,Men,Bronze
BEKELE  Kenenisa,Athletics,ETH,Men,Gold
KIPCHOGE  Eliud,Athletics,KEN,Men,Silver
DEFAR  Meseret,Athletics,ETH,Women,Bronze
DIBABA  Tirunesh,Athletics,ETH,Women,Gold
ABEYLEGESSE  Elvan,Athletics,TUR,Women,Silver
NIZHEGORODOV  Denis,Athletics,RUS,Men,Bronze
SCHWAZER  Alex,Athletics,ITA,Men,Gold
TALLENT  Jared,Athletics,AUS,Men,Silver
YEGO  Alfred Kirwa,Athletics,KEN,Men,Bronze
BUNGEI  Wilfred,Athletics,KEN,Men,Gold
ISMAIL  Ismail Ahmed,Athletics,SUD,Men,Silver
BENHASSI  Hasna,Athletics,MAR,Women,Bronze
JELIMO  Pamela,Athletics,KEN,Women,Gold
BUSIENEI  Janeth Jepkosgei,Athletics,KEN,Women,Silver
SUAREZ  Leonel,Athletics,CUB,Men,Bronze
CLAY  Bryan,Athletics,USA,Men,Gold
KRAUCHANKA  Andrei,Athletics,BLR,Men,Silver
ALEKNA  Virgilijus,Athletics,LTU,Men,Bronze
KANTER  Gerd,Athletics,EST,Men,Gold
MALACHOWSKI  Piotr,Athletics,POL,Men,Silver
ANTONOVA  Olena,Athletics,UKR,Women,Bronze
BROWN TRAFTON  Stephanie,Athletics,USA,Women,Gold
BARRIOS  Yarelys,Athletics,CUB,Women,Silver
TSIKHAN  Ivan,Athletics,BLR,Men,Bronze
KOZMUS  Primoz,Athletics,SLO,Men,Gold
DEVYATOVSKIY  Vadim,Athletics,BLR,Men,Silver
ZHANG  Wenxiu,Athletics,CHN,Women,Bronze
MIANKOVA  Aksana,Athletics,BLR,Women,Gold
MORENO  Yipsi,Athletics,CUB,Women,Silver
CHERNOVA  Tatiana,Athletics,RUS,Women,Bronze
DOBRYNSKA  Nataliia,Athletics,UKR,Women,Gold
FOUNTAIN  Hyleas,Athletics,USA,Women,Silver
RYBAKOV  Yaroslav,Athletics,RUS,Men,Bronze
SILNOV  Andrey,Athletics,RUS,Men,Gold
MASON  Germaine,Athletics,GBR,Men,Silver
CHICHEROVA  Anna,Athletics,RUS,Women,Bronze
HELLEBAUT  Tia,Athletics,BEL,Women,Gold
VLASIC  Blanka,Athletics,CRO,Women,Silver
PITKAMAKI  Tero,Athletics,FIN,Men,Bronze
THORKILDSEN  Andreas,Athletics,NOR,Men,Gold
KOVALS  Ainars,Athletics,LAT,Men,Silver
OBERGFOLL  Christina,Athletics,GER,Women,Bronze
SPOTAKOVA  Barbora,Athletics,CZE,Women,Gold
ABAKUMOVA  Maria,Athletics,RUS,Women,Silver
CAMEJO  Ibrahim,Athletics,CUB,Men,Bronze
SALADINO ARANDA  Irving Jahir,Athletics,PAN,Men,Gold
MOKOENA  Khotso,Athletics,RSA,Men,Silver
OKAGBARE  Blessing,Athletics,NGR,Women,Bronze
MAGGI  Maurren Higa,Athletics,BRA,Women,Gold
LEBEDEVA  Tatyana,Athletics,RUS,Women,Silver
KEBEDE  Tsegay,Athletics,ETH,Men,Bronze
WANSIRU  Samuel Kamau,Athletics,KEN,Men,Gold
GHARIB  Jaouad,Athletics,MAR,Men,Silver
ZHOU  Chunxiu,Athletics,CHN,Women,Bronze
TOMESCU  Constantina,Athletics,ROU,Women,Gold
NDEREBA  Catherine,Athletics,KEN,Women,Silver
YURCHENKO  Denys,Athletics,UKR,Men,Bronze
HOOKER  Steve,Athletics,AUS,Men,Gold
LUKYANENKO  Evgeny,Athletics,RUS,Men,Silver
FEOFANOVA  Svetlana,Athletics,RUS,Women,Bronze
ISINBAEVA  Elena,Athletics,RUS,Women,Gold
STUCZYNSKI  Jennifer,Athletics,USA,Women,Silver
MIKHNEVICH  Andrei,Athletics,BLR,Men,Bronze
MAJEWSKI  Tomasz,Athletics,POL,Men,Gold
CANTWELL  Christian,Athletics,USA,Men,Silver
OSTAPCHUK  Nadzeya,Athletics,BLR,Women,Bronze
VILI  Valerie,Athletics,NZL,Women,Gold
MIKHNEVICH  Natallia,Athletics,BLR,Women,Silver
SANDS  Leevan,Athletics,BAH,Men,Bronze
EVORA  Nelson,Athletics,POR,Men,Gold
IDOWU  Phillips,Athletics,GBR,Men,Silver
DEVETZI  Hrysopiyi,Athletics,GRE,Women,Bronze
MBANGO ETONE  Francoise,Athletics,CMR,Women,Gold
LEBEDEVA  Tatyana,Athletics,RUS,Women,Silver
HWANG  Jiman,Badminton,KOR,Men,Bronze
LEE  Jaejin,Badminton,KOR,Men,Bronze
HE  Hanbin,Badminton,CHN,Men,Bronze
KIDO  Markis,Badminton,INA,Men,Gold
SETIAWAN  Hendra,Badminton,INA,Men,Gold
LEE  Yongdae,Badminton,KOR,Men,Gold
CAI  Yun,Badminton,CHN,Men,Silver
FU  Haifeng,Badminton,CHN,Men,Silver
WIDIANTO  Nova,Badminton,INA,Men,Silver
WEI  Yili,Badminton,CHN,Women,Bronze
ZHANG  Yawen,Badminton,CHN,Women,Bronze
YU  Yang,Badminton,CHN,Women,Bronze
DU  Jing,Badminton,CHN,Women,Gold
YU  Yang,Badminton,CHN,Women,Gold
LEE  Hyojung,Badminton,KOR,Women,Gold
LEE  Hyojung,Badminton,KOR,Women,Silver
LEE  Kyungwon,Badminton,KOR,Women,Silver
LILIYANA,Badminton,INA,Women,Silver
CHEN  Jin,Badminton,CHN,Men,Bronze
LIN  Dan,Badminton,CHN,Men,Gold
LEE  Chong Wei,Badminton,MAS,Men,Silver
YULIANTI  Maria Kristin,Badminton,INA,Women,Bronze
ZHANG  Ning,Badminton,CHN,Women,Gold
XIE  Xingfang,Badminton,CHN,Women,Silver
ANDERSON  Brett,Baseball,USA,Men,Bronze
ARRIETA  Jake,Baseball,USA,Men,Bronze
BARDEN  Brian,Baseball,USA,Men,Bronze
BROWN  Matt,Baseball,USA,Men,Bronze
CAHILL  Trevor,Baseball,USA,Men,Bronze
CUMMINGS  Jeremy,Baseball,USA,Men,Bronze
DONALD  Jason,Baseball,USA,Men,Bronze
DUENSING  Brian,Baseball,USA,Men,Bronze
FOWLER  Dexter,Baseball,USA,Men,Bronze
GALL  John,Baseball,USA,Men,Bronze
HESSMAN  Mike,Baseball,USA,Men,Bronze
JEPSEN  Kevin,Baseball,USA,Men,Bronze
KNIGHT  Brandon,Baseball,USA,Men,Bronze
KOPLOVE  Michael,Baseball,USA,Men,Bronze
LAPORTA  Matt,Baseball,USA,Men,Bronze
MARSON  Lou,Baseball,USA,Men,Bronze
NEAL  Blaine,Baseball,USA,Men,Bronze
NIX  Jayson,Baseball,USA,Men,Bronze
SCHIERHOLTZ  Nate,Baseball,USA,Men,Bronze
STEVENS  Jeff,Baseball,USA,Men,Bronze
STRASBURG  Stephen,Baseball,USA,Men,Bronze
TEAGARDEN  Taylor,Baseball,USA,Men,Bronze
TIFFEE  Terry,Baseball,USA,Men,Bronze
WEATHERS  Casey,Baseball,USA,Men,Bronze
BONG  Jungkeun,Baseball,KOR,Men,Gold
CHONG  Taehyon,Baseball,KOR,Men,Gold
HAN  Kijoo,Baseball,KOR,Men,Gold
JANG  Wonsam,Baseball,KOR,Men,Gold
JEONG  Keunwoo,Baseball,KOR,Men,Gold
JIN  Kabyong,Baseball,KOR,Men,Gold
KANG  Minho,Baseball,KOR,Men,Gold
KIM  Dongjoo,Baseball,KOR,Men,Gold
KIM  Hyunsoo,Baseball,KOR,Men,Gold
KIM  Kwanghyun,Baseball,KOR,Men,Gold
KIM  Minjae,Baseball,KOR,Men,Gold
KO  Youngmin,Baseball,KOR,Men,Gold
KWON  Hyuk,Baseball,KOR,Men,Gold
LEE  Daeho,Baseball,KOR,Men,Gold
LEE  Jinyoung,Baseball,KOR,Men,Gold
LEE  Jongwook,Baseball,KOR,Men,Gold
LEE  Seungyuop,Baseball,KOR,Men,Gold
LEE  Taekkeun,Baseball,KOR,Men,Gold
LEE  Yongkyu,Baseball,KOR,Men,Gold
OH  Seunghwan,Baseball,KOR,Men,Gold
PARK  Jinman,Baseball,KOR,Men,Gold
RYU  Hyunjin,Baseball,KOR,Men,Gold
SONG  Seungjun,Baseball,KOR,Men,Gold
YOON  Suk Min,Baseball,KOR,Men,Gold
BELL  Alexei,Baseball,CUB,Men,Silver
CEPEDA  Frederich,Baseball,CUB,Men,Silver
DESPAIGNE  Alfredo,Baseball,CUB,Men,Silver
DUVERGEL  Giorbis,Baseball,CUB,Men,Silver
ENRIQUEZ  Michel,Baseball,CUB,Men,Silver
GONZALEZ  Norberto,Baseball,CUB,Men,Silver
GOURRIEL  Yuliesky,Baseball,CUB,Men,Silver
LA HERA  Miguel,Baseball,CUB,Men,Silver
LAZO  Pedro Luis,Baseball,CUB,Men,Silver
MARTINEZ  Jonder,Baseball,CUB,Men,Silver
MAYETA  Alexander,Baseball,CUB,Men,Silver
MERINO  Rolando,Baseball,CUB,Men,Silver
NAVAS  Luis,Baseball,CUB,Men,Silver
ODELIN SANAME  Vicyohandri,Baseball,CUB,Men,Silver
OLIVERA  Hector,Baseball,CUB,Men,Silver
PALMA  Adiel,Baseball,CUB,Men,Silver
PARET  Eduardo,Baseball,CUB,Men,Silver
PEDROSO  Yadier,Baseball,CUB,Men,Silver
PESTANO  Ariel,Baseball,CUB,Men,Silver
RODRIGUEZ  Luis,Baseball,CUB,Men,Silver
SANCHEZ  Elier,Baseball,CUB,Men,Silver
SANCHEZ  Eriel,Baseball,CUB,Men,Silver
URGELLES  Yoandry,Baseball,CUB,Men,Silver
VERA  Norge Luis,Baseball,CUB,Men,Silver
DELFINO  Carlos Francisco,Basketball,ARG,Men,Bronze
GINOBILI  Emanuel David,Basketball,ARG,Men,Bronze
GONZALEZ  Roman Javier,Basketball,ARG,Men,Bronze
GUTIERREZ LLANAS  Juan Pedro,Basketball,ARG,Men,Bronze
GUTIERREZ  Leonardo Martin,Basketball,ARG,Men,Bronze
KAMMERICHS  Guillermo Federico,Basketball,ARG,Men,Bronze
NOCIONI  Andres Marcelo,Basketball,ARG,Men,Bronze
OBERTO  Fabricio Raul Jesus,Basketball,ARG,Men,Bronze
PORTA PERNIGOTTI  Antonio Alejandro,Basketball,ARG,Men,Bronze
PRIGIONI  Pablo,Basketball,ARG,Men,Bronze
QUINTEROS  Alfredo Paolo,Basketball,ARG,Men,Bronze
SCOLA  Luis Alberto,Basketball,ARG,Men,Bronze
ANTHONY  Carmelo,Basketball,USA,Men,Gold
BOOZER  Carlos,Basketball,USA,Men,Gold
BOSH  Chris,Basketball,USA,Men,Gold
BRYANT  Kobe,Basketball,USA,Men,Gold
HOWARD  Dwight,Basketball,USA,Men,Gold
JAMES  Lebron,Basketball,USA,Men,Gold
KIDD  Jason,Basketball,USA,Men,Gold
PAUL  Chris,Basketball,USA,Men,Gold
PRINCE  Tayshaun,Basketball,USA,Men,Gold
REDD  Michael,Basketball,USA,Men,Gold
WADE  Dwyane,Basketball,USA,Men,Gold
WILLIAMS  Deron,Basketball,USA,Men,Gold
CALDERON  Jose Manuel,Basketball,ESP,Men,Silver
FERNANDEZ  Rudy,Basketball,ESP,Men,Silver
GARBAJOSA  Jorge,Basketball,ESP,Men,Silver
GASOL  Marc,Basketball,ESP,Men,Silver
GASOL  Pau,Basketball,ESP,Men,Silver
JIMENEZ  Carlos,Basketball,ESP,Men,Silver
LOPEZ  Raul,Basketball,ESP,Men,Silver
MUMBRU  Alex,Basketball,ESP,Men,Silver
NAVARRO  Juan Carlos,Basketball,ESP,Men,Silver
REYES  Felipe,Basketball,ESP,Men,Silver
RODRIGUEZ  Berni,Basketball,ESP,Men,Silver
RUBIO  Ricky,Basketball,ESP,Men,Silver
ABROSIMOVA  Svetlana,Basketball,RUS,Women,Bronze
HAMMON  Rebekka Linn,Basketball,RUS,Women,Bronze
KARPUNINA  Marina,Basketball,RUS,Women,Bronze
KORSTIN  Ilona,Basketball,RUS,Women,Bronze
KUZINA  Marina,Basketball,RUS,Women,Bronze
LISINA  Ekaterina,Basketball,RUS,Women,Bronze
OSIPOVA  Irina,Basketball,RUS,Women,Bronze
RAKHMATULINA  Oxana,Basketball,RUS,Women,Bronze
SHCHEGOLEVA  Tatiana,Basketball,RUS,Women,Bronze
SOKOLOVSKAYA  Irina,Basketball,RUS,Women,Bronze
STEPANOVA  Maria,Basketball,RUS,Women,Bronze
VODOPYANOVA  Natalia,Basketball,RUS,Women,Bronze
AUGUSTUS  Seimone,Basketball,USA,Women,Gold
BIRD  Sue,Basketball,USA,Women,Gold
CATCHINGS  Tamika,Basketball,USA,Women,Gold
FOWLES  Sylvia,Basketball,USA,Women,Gold
LAWSON  Kara,Basketball,USA,Women,Gold
LESLIE  Lisa,Basketball,USA,Women,Gold
MILTON-JONES  Delisha,Basketball,USA,Women,Gold
PARKER  Candace,Basketball,USA,Women,Gold
PONDEXTER  Cappie,Basketball,USA,Women,Gold
SMITH  Katie,Basketball,USA,Women,Gold
TAURASI  Diana,Basketball,USA,Women,Gold
THOMPSON  Tina,Basketball,USA,Women,Gold
BATKOVIC  Suzy,Basketball,AUS,Women,Silver
BEVILAQUA  Tully,Basketball,AUS,Women,Silver
COX  Rohanee,Basketball,AUS,Women,Silver
GRIMA  Hollie,Basketball,AUS,Women,Silver
HARROWER  Kristi,Basketball,AUS,Women,Silver
JACKSON  Lauren,Basketball,AUS,Women,Silver
PHILLIPS  Erin,Basketball,AUS,Women,Silver
RANDALL  Emma,Basketball,AUS,Women,Silver
SCREEN  Jenni,Basketball,AUS,Women,Silver
SNELL  Belinda,Basketball,AUS,Women,Silver
SUMMERTON  Laura,Basketball,AUS,Women,Silver
TAYLOR  Penny,Basketball,AUS,Women,Silver
GLAZKOV  Vyacheslav,Boxing,UKR,Men,Bronze
PRICE  David,Boxing,GBR,Men,Bronze
CAMMARELLE  Roberto,Boxing,ITA,Men,Gold
ZHANG  Zhilei,Boxing,CHN,Men,Silver
BALAKSHIN  Georgy,Boxing,RUS,Men,Bronze
PICARDI  Vincenzo,Boxing,ITA,Men,Bronze
JONGJOHOR  Somjit,Boxing,THA,Men,Gold
LAFFITA HERNANDEZ  Andris,Boxing,CUB,Men,Silver
BARNES  Paddy,Boxing,IRL,Men,Bronze
HERNANDEZ G  Yampier,Boxing,CUB,Men,Bronze
ZOU  Shiming,Boxing,CHN,Men,Gold
PUREVDORJ  Serdamba,Boxing,MGL,Men,Silver
GOJAN  Veaceslav,Boxing,MDA,Men,Bronze
JULIE  Bruno,Boxing,MRI,Men,Bronze
ENKHBAT  Badar-Uugan,Boxing,MGL,Men,Gold
LEON ALARCON  Yankiel,Boxing,CUB,Men,Silver
IMRANOV  Shahin,Boxing,AZE,Men,Bronze
KILIC  Yakup,Boxing,TUR,Men,Bronze
LOMACHENKO  Vasyl,Boxing,UKR,Men,Gold
DJELKHIR  Khedafi,Boxing,FRA,Men,Silver
JAVAKHYAN  Hrachik,Boxing,ARM,Men,Bronze
UGAS  Yordenis,Boxing,CUB,Men,Bronze
TISHCHENKO  Alexey,Boxing,RUS,Men,Gold
SOW  Daouda,Boxing,FRA,Men,Silver
IGLESIAS SOTOLONGO  Roniel,Boxing,CUB,Men,Bronze
VASTINE  Alexis,Boxing,FRA,Men,Bronze
DIAZ  Felix,Boxing,DOM,Men,Gold
BOONJUMNONG  Manus,Boxing,THA,Men,Silver
HANATI  Silamu,Boxing,CHN,Men,Bronze
KIM  Jungjoo,Boxing,KOR,Men,Bronze
SARSEKBAYEV  Bakhyt,Boxing,KAZ,Men,Gold
BANTEAUX SUAREZ  Carlos,Boxing,CUB,Men,Silver
KUMAR  Vijender,Boxing,IND,Men,Bronze
SUTHERLAND  Darren John,Boxing,IRL,Men,Bronze
DEGALE  James,Boxing,GBR,Men,Gold
CORREA BAYEAUX  Emilio,Boxing,CUB,Men,Silver
JEFFRIES  Tony,Boxing,GBR,Men,Bronze
SHYNALIYEV  Yerkebulan,Boxing,KAZ,Men,Bronze
ZHANG  Xiaoping,Boxing,CHN,Men,Gold
EGAN  Kenny,Boxing,IRL,Men,Silver
ACOSTA DUARTE  Osmai,Boxing,CUB,Men,Bronze
WILDER  Deontay,Boxing,USA,Men,Bronze
CHAKHKIEV  Rakhim,Boxing,RUS,Men,Gold
RUSSO  Clemente,Boxing,ITA,Men,Silver
HALL  Thomas,Canoe / Kayak F,CAN,Men,Bronze
VAJDA  Attila Sandor,Canoe / Kayak F,HUN,Men,Gold
CAL  David,Canoe / Kayak F,ESP,Men,Silver
CHEBAN  Iurii,Canoe / Kayak F,UKR,Men,Bronze
OPALEV  Maxim,Canoe / Kayak F,RUS,Men,Gold
CAL  David,Canoe / Kayak F,ESP,Men,Silver
KISS  Tamas,Canoe / Kayak F,HUN,Men,Bronze
KOZMANN  Gyorgy,Canoe / Kayak F,HUN,Men,Bronze
BAHDANOVICH  Aliaksandr,Canoe / Kayak F,BLR,Men,Gold
BAHDANOVICH  Andrei,Canoe / Kayak F,BLR,Men,Gold
GILLE  Christian,Canoe / Kayak F,GER,Men,Silver
WYLENZEK  Thomasz,Canoe / Kayak F,GER,Men,Silver
GILLE  Christian,Canoe / Kayak F,GER,Men,Bronze
WYLENZEK  Thomasz,Canoe / Kayak F,GER,Men,Bronze
MENG  Guanliang,Canoe / Kayak F,CHN,Men,Gold
YANG  Wenjun,Canoe / Kayak F,CHN,Men,Gold
KOSTOGLOD  Alexander,Canoe / Kayak F,RUS,Men,Silver
ULEGIN  Sergey,Canoe / Kayak F,RUS,Men,Silver
WALLACE  Ken,Canoe / Kayak F,AUS,Men,Bronze
BRABANTS  Tim,Canoe / Kayak F,GBR,Men,Gold
LARSEN  Eirik Veraas,Canoe / Kayak F,NOR,Men,Silver
BRABANTS  Tim,Canoe / Kayak F,GBR,Men,Bronze
WALLACE  Ken,Canoe / Kayak F,AUS,Men,Gold
VAN KOEVERDEN  Adam,Canoe / Kayak F,CAN,Men,Silver
WAGNER-AUGUSTIN  Katrin,Canoe / Kayak F,GER,Women,Bronze
OSYPENKO-RADOMSKA  Inna,Canoe / Kayak F,UKR,Women,Gold
IDEM  Josefa,Canoe / Kayak F,ITA,Women,Silver
FACCHIN  Andrea,Canoe / Kayak F,ITA,Men,Bronze
SCADUTO  Antonio Massimiliano,Canoe / Kayak F,ITA,Men,Bronze
HOLLSTEIN  Martin,Canoe / Kayak F,GER,Men,Gold
IHLE  Andreas,Canoe / Kayak F,GER,Men,Gold
KNUDSEN  Kim Wraae,Canoe / Kayak F,DEN,Men,Silver
POULSEN  Rene Holten,Canoe / Kayak F,DEN,Men,Silver
MAKHNEU  Vadzim,Canoe / Kayak F,BLR,Men,Bronze
PIATRUSHENKA  Raman,Canoe / Kayak F,BLR,Men,Bronze
CRAVIOTTO  Saul,Canoe / Kayak F,ESP,Men,Gold
PEREZ  Carlos,Canoe / Kayak F,ESP,Men,Gold
RAUHE  Ronald,Canoe / Kayak F,GER,Men,Silver
WIESKOTTER  Tim,Canoe / Kayak F,GER,Men,Silver
DELATTRE  Marie,Canoe / Kayak F,FRA,Women,Bronze
VIARD  Anne-Laure,Canoe / Kayak F,FRA,Women,Bronze
JANIC  Natasa,Canoe / Kayak F,HUN,Women,Gold
KOVACS  Katalin,Canoe / Kayak F,HUN,Women,Gold
KONIECZNA  Aneta,Canoe / Kayak F,POL,Women,Silver
MIKOLAJCZYK  Beata,Canoe / Kayak F,POL,Women,Silver
ALTEPOST  Lutz,Canoe / Kayak F,GER,Men,Bronze
BROCKL  Norman,Canoe / Kayak F,GER,Men,Bronze
ECKBRETT  Torsten,Canoe / Kayak F,GER,Men,Bronze
GOLDSCHMIDT  Bjorn,Canoe / Kayak F,GER,Men,Bronze
ABALMASAU  Aliaksei,Canoe / Kayak F,BLR,Men,Gold
LITVINCHUK  Artur,Canoe / Kayak F,BLR,Men,Gold
MAKHNEU  Vadzim,Canoe / Kayak F,BLR,Men,Gold
PIATRUSHENKA  Raman,Canoe / Kayak F,BLR,Men,Gold
RISZDORFER  Michal,Canoe / Kayak F,SVK,Men,Silver
RISZDORFER  Richard,Canoe / Kayak F,SVK,Men,Silver
TARR  Juraj,Canoe / Kayak F,SVK,Men,Silver
VLCEK  Erik,Canoe / Kayak F,SVK,Men,Silver
DAVIS  Hannah,Canoe / Kayak F,AUS,Women,Bronze
FOGARTY  Lyndsie,Canoe / Kayak F,AUS,Women,Bronze
MEEK  Chantal,Canoe / Kayak F,AUS,Women,Bronze
OLDENHOF  Lisa,Canoe / Kayak F,AUS,Women,Bronze
FISCHER  Fanny,Canoe / Kayak F,GER,Women,Gold
REINHARDT  Nicole,Canoe / Kayak F,GER,Women,Gold
WAGNER-AUGUSTIN  Katrin,Canoe / Kayak F,GER,Women,Gold
WASSMUTH  Conny,Canoe / Kayak F,GER,Women,Gold
JANIC  Natasa,Canoe / Kayak F,HUN,Women,Silver
KOVACS  Katalin,Canoe / Kayak F,HUN,Women,Silver
KOZAK  Danuta,Canoe / Kayak F,HUN,Women,Silver
SZABO  Gabriella Timea,Canoe / Kayak F,HUN,Women,Silver
BELL  Robin,Canoe / Kayak S,AUS,Men,Bronze
MARTIKAN  Michal,Canoe / Kayak S,SVK,Men,Gold
FLORENCE  David,Canoe / Kayak S,GBR,Men,Silver
KUZNETSOV  Mikhail,Canoe / Kayak S,RUS,Men,Bronze
LARIONOV  Dmitry,Canoe / Kayak S,RUS,Men,Bronze
HOCHSCHORNER  Pavol,Canoe / Kayak S,SVK,Men,Gold
HOCHSCHORNER  Peter,Canoe / Kayak S,SVK,Men,Gold
STEPANEK  Ondrej,Canoe / Kayak S,CZE,Men,Silver
VOLF  Jaroslav,Canoe / Kayak S,CZE,Men,Silver
BOUKPETI  Benjamin,Canoe / Kayak S,TOG,Men,Bronze
GRIMM  Alexander,Canoe / Kayak S,GER,Men,Gold
LEFEVRE  Fabien,Canoe / Kayak S,FRA,Men,Silver
OBLINGER PETERS  Violetta,Canoe / Kayak S,AUT,Women,Bronze
KALISKA  Elena,Canoe / Kayak S,SVK,Women,Gold
LAWRENCE  Jacqueline,Canoe / Kayak S,AUS,Women,Silver
ROBINSON  Donny,BMX,USA,Men,Bronze
STROMBERGS  Maris,BMX,LAT,Men,Gold
DAY  Mike,BMX,USA,Men,Silver
KINTNER  Jill,BMX,USA,Women,Bronze
CHAUSSON  Anne-Caroline,BMX,FRA,Women,Gold
LE CORGUILLE  Laetitia,BMX,FRA,Women,Silver
CANCELLARA  Fabian,Cycling Road,SUI,Men,Bronze
SANCHEZ  Samuel,Cycling Road,ESP,Men,Gold
GUDERZO  Tatiana,Cycling Road,ITA,Women,Bronze
COOKE  Nicole,Cycling Road,GBR,Women,Gold
JOHANSSON  Emma,Cycling Road,SWE,Women,Silver
LEIPHEIMER  Levi,Cycling Road,USA,Men,Bronze
CANCELLARA  Fabian,Cycling Road,SUI,Men,Gold
LARSSON  Gustav,Cycling Road,SWE,Men,Silver
THURIG  Karin,Cycling Road,SUI,Women,Bronze
ARMSTRONG  Kristin,Cycling Road,USA,Women,Gold
POOLEY  Emma,Cycling Road,GBR,Women,Silver
BURKE  Steven,Cycling Track,GBR,Men,Bronze
WIGGINS  Bradley,Cycling Track,GBR,Men,Gold
ROULSTON  Hayden,Cycling Track,NZL,Men,Silver
KALITOVSKA  Lesya,Cycling Track,UKR,Women,Bronze
ROMERO  Rebecca,Cycling Track,GBR,Women,Gold
HOUVENAGHEL  Wendy,Cycling Track,GBR,Women,Silver
NAGAI  Kiyofumi,Cycling Track,JPN,Men,Bronze
HOY  Chris,Cycling Track,GBR,Men,Gold
EDGAR  Ross,Cycling Track,GBR,Men,Silver
